Tweet Id,Tweet URL,Tweet Posted Time,Tweet Content,Tweet Type,Client,Retweets received,Likes received,User Id,Name,Username,Verified or Non-Verified,Profile URL,Protected or Not Protected
"""1219730046694383618""",https://twitter.com/jimmyfallon/status/1219730046694383618,21/01/2020 21:14,"""#ThereShouldBeALaw that people who pronounce it “hwhich” and “hwhere” are immediately put in “jhail.”""",Tweet,Twitter for iPhone,236,3132,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
"""1219729849583067136""",https://twitter.com/jimmyfallon/status/1219729849583067136,21/01/2020 21:13,"""It’s Hashtags time! Tag a tweet with #ThereShouldBeALaw and then say a funny or weird rule that you think should be made into law. Could be on the show!""",Tweet,Twitter for iPhone,207,3255,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
"""1218196761271054341""",https://twitter.com/jimmyfallon/status/1218196761271054341,17/01/2020 15:41,"""Friend goals. #happybirthdaylin""",Reply,Twitter for iPhone,51,1825,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
"""1218195511787782144""",https://twitter.com/jimmyfallon/status/1218195511787782144,17/01/2020 15:36,"""https://t.co/l6mMb0Tdzc""",Reply,Twitter for iPhone,342,9455,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
"""1217937309410131969""",https://twitter.com/jimmyfallon/status/1217937309410131969,16/01/2020 22:30,"""Kid monologues, kid games, kid interviews, bird streaming service. @peacockTV https://t.co/U5x1qTrum4""",Tweet,Twitter for iPhone,63,658,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
"""1217884387020300288""",https://twitter.com/jimmyfallon/status/1217884387020300288,16/01/2020 19:00,"""I feel like this could be my most liked tweet ever. People love you @Lin_Manuel!!! Happy Birthday! https://t.co/UCOC07Kz91""",Tweet,Twitter for iPhone,342,6766,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
"""1217880181383356417""",https://twitter.com/jimmyfallon/status/1217880181383356417,16/01/2020 18:43,"""We sadly made our wives watch and film this. Support. It’s nice to know they were rooting for us. One of my favorite parts is I quote “What a long strange trip it’s been. Grateful Dead. Lin’s is “Have a great summer!” Could you hear? #40""",Reply,Twitter for iPhone,84,3461,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
"""1217873333972283395""",https://twitter.com/jimmyfallon/status/1217873333972283395,16/01/2020 18:16,"""Happy birthday to the GOAT - @Lin_Manuel!!! Love ya dude. https://t.co/yZMPXWfNeg""",Tweet,Twitter for iPhone,4647,44323,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
"""1217675615635197952""",https://twitter.com/fallontonight/status/1217675615635197952,16/01/2020 05:11,""".@RobertDowneyJr &amp; Jimmy filmed a commercial for the allergy medicine Zynerma back in the 90s and are finally revisiting it in Cue Card Cold Read #FallonTonight https://t.co/LTZ7EgDfZc""",Retweet,Twitter Media Studio,600,3486,"""19777398""","""Fallon Tonight""",fallontonight,Verified,https://twitter.com/fallontonight,Not Protected
"""1217303868830363648""",https://twitter.com/jimmyfallon/status/1217303868830363648,15/01/2020 04:33,"""Tonight show starts in 2 mins!!! Turn on @NBC.""",Tweet,Twitter for iPhone,72,1328,"""15485441""","""jimmy fallon""",jimmyfallon,Verified,https://twitter.com/jimmyfallon,Not Protected
